feature	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	369.87036095577014	108.78414043063134	3.400039376067197	0.0031912309632026	0.00774403248012627	12
wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	394.3640061006608	112.81454015465106	3.49568420489105	0.00258134416004209	0.00774403248012627	12
wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	-0.59660396542959	0.4475826639252318	-1.3329469917298944	0.1991762253458933	0.1991762253458933	12
wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-1.2242806304016272	0.46416538488087133	-2.637595715406138	0.01672125406486775	0.0334425081297355	12
wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	243.78393492628388	99.01770887272926	2.4620235885242248	0.02413597215801565	0.0482719443160313	12
wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	311.94001016776815	102.6862670369425	3.037796768437832	0.0070783071418544	0.02123492142556322	12
wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	aIL10+aPD1	groupaIL10	-30.475648195221194	9.744904339268752	-3.127341955776249	0.00582032808335519	0.01746098425006557	12
wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	aIL10+aPD1	groupControl	-28.938179969496705	10.105948326049456	-2.863479906670867	0.01032766407921623	0.02065532815843246	12
wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	aIL10+aPD1	groupaIL10	-1.3850000000000002	0.5565751296994865	-2.488433144233031	0.02016632981192955	0.04033265962385911	12
wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	aIL10+aPD1	groupControl	-2.2385	0.5903370726754334	-3.7919014468378553	8.899500736638891e-4	0.00266985022099166	12
wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	483.8999999999998	175.67217354926711	2.7545626050120595	0.01103102210495568	0.02206204420991137	12
wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	680.65	186.3284777737002	3.652957444468921	0.0012599414414354	0.0037798243243062	12
wk12_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	aIL10+aPD1	groupaIL10	618.9999999999995	623.0265772721584	0.9935370698152416	0.3312510698346195	0.662502139669239	12
wk12_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	aIL10+aPD1	groupControl	2120.5862068965516	642.8520860362304	3.298715603416488	0.00327202738679417	0.01308810954717668	12
wk12_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupaIL10	311.3999999999998	342.0321028862086	0.9104408544469296	0.37164382719331435	0.37164382719331435	12
wk12_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupControl	1001.9500000000004	362.7798290014994	2.7618679978920744	0.01084639914412443	0.02763458398964794	12
wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	aIL10+aPD1	groupaIL10	-19.620000000000015	9.65681951240874	-2.0317248318443633	0.05339422608804344	0.10678845217608687	12
wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	aIL10+aPD1	groupControl	-27.994999999999997	10.24260384287818	-2.7331917185750862	0.01158828810503427	0.03476486431510282	12
wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	Control	groupaIL10	-24.49364514489071	108.57869333427077	-0.22558426881676025	0.8240662314855879	1	12
wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	Control	groupaIL10	0.6276766649720382	0.446737370132214	1.4050238617518709	0.17703769875253725	0.17703769875253725	12
wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	Control	groupaIL10	-68.15607524148434	98.83070642277973	-0.6896244872512101	0.4992253294185852	0.4992253294185852	12
wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	Control	groupaIL10	-1.5374682257244916	9.726500348642093	-0.158070032448941	0.8761614267920346	0.8761614267920346	12
wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	Control	groupaIL10	0.8534999999999995	0.5903370726754334	1.4457841790824693	0.16117083051803516	0.3223416610360703	12
wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	Control	groupaIL10	-196.75000000000023	186.3284777737002	-1.0559309148597091	0.3015137902174314	0.6030275804348628	12
wk12_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_BCL2	Control	groupaIL10	-1501.586206896552	642.8520860362303	-2.3358191402243107	0.02901831797585088	0.05803663595170177	12
wk12_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBpTBETp_MFI_BCL2	Control	groupaIL10	-690.5500000000003	362.77982900149937	-1.9034961284938097	0.06903556542812629	0.06903556542812629	12
wk12_PBMC_CD3p_CD8p_TCF1nCD101n_MFI_KI67	Control	groupaIL10	8.374999999999986	10.24260384287818	0.8176631771054228	0.421593326923939	0.7877810138843566	12
