animal	group	wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk12_15_Exhaustion_CD4p_LN_UNS	wk12_IL4	wk12_LN_CD3p_CD4_CD95pCD28nTEM	wk12_LN_CD3p_CD4p_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD4p_TCM_IRF4nTCF1nTOXp	wk12_LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_LN_CD3p_CD8p_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_GRZBp_GAG	wk12_LN_CD3p_CD8p_TCM_GRZBp_UNS	wk12_LN_CD3p_CD8p_TCM_KI67p_UNS	wk12_LN_CD3p_CD8p_TCM_SLAMF6p_UNS	wk12_LN_CD3p_CD8p_TEM_CD39p_GAG	wk12_LN_CD3p_CD8p_TOXpIRF4p_MFI_KI67	wk12_MIP3b	wk12_PBMC_CD3p_CD4p_TCM_IRF4pTCF1nTOXn	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_GAG	wk12_PBMC_CD3p_CD4p_TCM_MFI_BCL2_UNS	wk12_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_BCL2	wk12_PBMC_CD3p_CD8p_KI67p	wk12_PBMC_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_Q2TCF1pCD101p_Q2GRZBpTBETp_MFI_BCL2	wk12_PBMC_CD3p_CD8p_Q4TCF1nCD101n_Exhausted_Intermed_MFI_KI67	wk21_LN_CD3p_CD4_CD95pCD28nTEM	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CX3CR1	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	wk21_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	wk21_LN_CD3p_CD4p_TNFAp_GAG	wk21_LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	wk21_LN_CD3p_CD8p_Naive	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_MFI_CX3CR1	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_MFI_ID2	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_MFI_IRF4	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_CD101	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_ID2	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q1GRZBnTBETp_MFI_IRF4	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q2GRZBpTBETp_MFI_BCL2	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q2GRZBpTBETp_MFI_KI67	wk21_LN_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q4GRZBnTBETn_MFI_KI67	wk21_LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_Cytolytic_Transitory_MFI_ID2	wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	wk21_PBMC_CD3p_CD8p_Q1TCF1nCD101pExhausted_Terminal_Q4GRZBnTBETn_MFI_KI67	wk21_PBMC_CD3p_CD8p_Q2TCF1pCD101p_Q4GRZBnTBETn	wk21_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_CD101	wk36_7_Exhaustion_CD8p_PBMC_GAG	wk36_LN_CD3p_CD4p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_IL2p_GAG_UNS	wk36_LN_CD3p_CD4p_KI67p	wk36_LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM	wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD4p_TEM_TCF1n	wk36_LN_CD3p_CD4p_TEM_TCF1p	wk36_LN_CD3p_CD4p_TNFAp_GAG_UNS	wk36_LN_CD3p_CD8p_CD25p	wk36_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_IFNGp_GAG_UNS	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn	wk36_LN_CD3p_CD8p_KI67p	wk36_LN_CD3p_CD8p_MFI_TCF1_UNS	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	wk36_LN_CD3p_CD8p_Naive_TCF1n	wk36_LN_CD3p_CD8p_Naive_TCF1p	wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	wk36_LN_CD3p_CD8p_Q3TCF1pCD101n_StemLike	wk36_LN_CD3p_CD8p_Q4TCF1nCD101n_Exhausted_Intermed	wk36_LN_CD3p_CD8p_Q4TCF1nCD101n_Exhausted_Intermed_Q3GRZBpTBETn_MFI_IRF4	wk36_LN_CD3p_CD8p_TCF1n	wk36_LN_CD3p_CD8p_TCF1p	wk36_LN_CD3p_CD8p_TCFn	wk36_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TCM_IFNGp_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	wk36_PBMC_CD3p_CD4p_CD39p_GAG_UNS	wk36_PBMC_CD3p_CD4p_CD39p_UNS	wk36_PBMC_CD3p_CD4p_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS	wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS	wk36_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD39p_GAG	wk36_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG	wk36_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	wk36_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	wk36_PBMC_CD3p_CD8p_Q2TCF1pCD101p_MFI_BCL2	wk36_PBMC_CD3p_CD8p_Q2TCF1pCD101p_Q4GRZBnTBETn_MFI_BCL2	wk36_PBMC_CD3p_CD8p_TBETp_GAG_UNS	wk36_PBMC_CD3p_CD8p_TCM_CD69p_UNS	wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	wk36_PBMC_CD3p_CD8p_TNFAp_GAG_UNS
RFl17	aIL10+aPD1	2.044914011059749	5.901426719	0.15265964360431	0.53	1639	1566	5.7	1924	1869	5.49	5.99	6.37	6.71	1.97	7.2	118	74.0753482275295	4.27	1924	2314	2223	1.66	610	2894	87.4	0.59	1920	-231	9034	9.51	0.13	1503	36.5	-61.5	211	91.2	2103	265	99	704	249	57.8	173	56.8	310	66.6	118	0.042870457	1.4509803921568627	2.6	0.75	131	873	1.41	1.602272727272727	431	2382	0.23	33	6.27	1686	242	52.4	47.6	3.571428571428571	4.82	1.1184834123222749	2.987951807228916	14.6	5.03	53.1	1.99	9729	6.19	1.3	153	7.57	92.4	9406	60.2	19.1	-88.7	21.2	78.8	25.1	1.102974828375286	3.23	67.9	1.0303490136570561	12.3	1.2634271099744245	3.91	1.3742690058479532	0.8988919667590028	2.03	0.073	6.56	1.217741935483871	359	403	43.5	2.326530612244898	24.117647058823525	3077	2793	1.10051993067591	4.91	190	179	7.111111111111112
RIb17	aIL10+aPD1	6.446221041805291	8.171206226	0.162956508000293	0.48	1895	1795	5	2257	2278	6.78	8.44	9.79	8.05	4.47	15.4	140	79.2054053382629	4.83	1741	2364	2405	3.25	2319	2744	103	1.27	1939	-258	10019	11.1	0.16	1541	13.7	-44.7	169	42.4	1501	178	35.9	470	336	143	148	23.5	188	54.5	6.42	0.025163094	0.7922077922077921	1.2903225806451615	1.74	165	935	1.34	1.0151515151515151	493	2804	0.052	28.5	7.26	2377	219	44.6	55.4	1.7857142857142856	5.6	1.2475	2.4925373134328357	15.1	5.04	54.1	4.58	9929	6.68	2.02	166	8.86	91.1	9685	62.3	19.7	-74.5	21.5	78.5	25.3	1.1966019417475726	2.15	66.8	1.143835616438356	9.68	0.8277886497064579	5.11	1.2622950819672132	0.9438202247191011	1.42	0.026	4.47	2.0352941176470587	245	294	22.8	1.9590443686006827	1.3265306122448979	3201	2578	1.0691144708423326	3.03	199	226	1.3478260869565217
RKq17	aIL10+aPD1	1.5239034279780361	7.911802853	0.137920450663551	0.51	1652	1596	4.48	1738	1745	6.16	5.39	7.37	13.7	3.33	14.8	155	152.406599198246	3.91	2052	2002	1979	4.12	2457	2262	161	0.27	945	-131	6616	14.2	0.3	448	53.9	-42	658	525	2189	673	549	1581	240	60.4	317	-31.8	467	85	60.4	0.054054054	1.1481481481481481	0.6346153846153846	2.44	42.4	1076	1.15	1.619718309859155	229	886	0.14	28.8	7.36	2761	168	50	50	2.0689655172413794	4.48	0.7954971857410882	1.1888888888888889	4.2	1.58	67	3.83	7939	2.38	0.74	44.9	3.35	96.6	7869	86.7	8.91	15.4	6.61	93.4	10.5	0.8037676609105181	3.62	60.8	0.832876712328767	5.96	0.48055555555555557	10.8	1.0790513833992095	1.0997506234413965	2.37	0.14	5.32	0.8861788617886179	364	493	34.9	1.9507042253521127	21.85185185185185	2728	2619	1.2465753424657535	6.58	187	305	5.25
RNy16	aIL10+aPD1	2.0580802092444075	5.447470817	0.16345342605648	0.53	1979	1964	4.94	2111	2082	7.91	5.35	8.44	9.59	3.36	8.55	131	125.486653476202	2.26	2341	2854	2905	3.29	NA	1863	107	0.56	2377	-220	6253	7.43	0.2	2080	25.9	-79	298	133	3352	318	133	2691	107	60.4	183	47.8	339	72.6	44.9	0.012115564	4.089743589743589	4.508196721311475	4.2	134	1297	5.27	3.6095890410958904	305	1186	0.32	26.7	4.53	3058	125	57.1	42.9	15.789473684210526	4.17	0.9575551782682513	3.4020100502512562	17.7	10.3	46.1	5.01	8543	5.54	2.38	143	8.22	91.8	8153	56.1	27.7	-14.1	30.1	69.9	33.9	0.9538714991762767	7.69	74.7	0.9676165803108808	19.3	1.5232558139534884	2.58	1.6263736263736264	0.9765625	1.22	0.037	2.72	1.0658682634730539	233	239	47.2	0.7707006369426751	5.222222222222222	2013	2164	0.9787234042553192	3.08	74.4	87.3	5.523809523809524
RRh17	aIL10+aPD1	3.10325410446575	8.819714656	0.145832751554333	0.96	1421	1396	5.25	1998	1918	6.86	17	23.8	10.4	8.91	7.05	147	62.5421343974635	4.15	1849	1738	1774	1.83	532	1991	134	0.93	1315	-218	8562	12	0.22	986	32.5	-61.5	343	191	2319	409	225	1101	144	78.4	248	24.8	295	67.9	-19.3	0.020503262	0.5161290322580645	0.8571428571428572	2.65	120	988	0.67	0.6203703703703703	344	1825	0.058	24.1	7.57	1942	293	44.1	55.9	2.6415094339622645	5.31	1.1682027649769586	1.0450450450450448	7.66	3.29	56.5	5.61	10271	3.47	1.04	117	4.72	95.3	10179	71.8	12.8	-65.5	12.4	87.6	16.5	1.1085594989561587	1.79	68.2	1.132890365448505	7.8	1.0526315789473684	2.47	0.9772727272727273	0.936986301369863	1.87	0.066	5.13	0.946808510638298	264	352	38.7	0.57	5.555555555555555	2583	2500	0.6212624584717608	1.57	134	128	1.125
RWs17	aIL10+aPD1	2.9356867514782716	4.86381323	0.163898871591361	0.36	1649	1626	3.17	1825	1821	3.67	7.28	6.23	4.15	3.06	12.2	127	102.805043224998	4.49	2476	2681	2702	2.4	2951	3286	78.4	0.24	2060	-157	5912	6.75	0.31	1670	42.7	-50	278	202	2214	298	194	1265	185	62.9	377	60.1	103	59.7	-37.2	0.009319664	1.7530864197530862	1.9736842105263157	4.02	151	1104	2.92	2.056338028169014	332	438	0.1	32.3	5.67	3739	136	46.7	53.3	0.48148148148148145	7.79	1.0873605947955391	2.908045977011494	16.3	4.93	56.3	7.08	10202	7.73	1.88	117	9.71	90.3	9513	63.4	24.6	-55.2	22.4	77.6	29.5	1.0723684210526316	3.41	76.8	1.0448979591836733	11.7	0.6666666666666667	6.18	1.076388888888889	0.7671875	2.54	0	7.34	0.962121212121212	483	563	68.5	1.207373271889401	0	3641	3878	1.1153846153846154	5.18	223	267	2.7500000000000004
RYm17	aIL10+aPD1	1.9211882090847399	6.549935149	0.179404008402684	0.47	1788	1717	5.57	1777	1632	13.3	8.67	7.5	18.1	3.24	10.4	204	122.81657046459	7.29	1498	1591	1492	2.83	1082	2524	111	0.37	1722	-182	9197	16	0.25	1147	27.2	-22.1	348	275	1860	347	273	1361	286	120	240	28.6	281	82	120	0.030754893	4.831325301204819	1	1.24	242	810	5.09	4.669724770642201	1134	3393	0.12	36.6	8.01	2888	468	55.3	44.7	3.1147540983606556	5.78	1.0149253731343284	3.5714285714285716	23.4	7.98	41.2	3.54	6851	15.4	2.53	83.5	18.2	81.8	6432	46.9	30.9	-69.4	33	67	39.4	1	5.62	73.3	0.9581699346405228	15.3	1.3595505617977528	3.56	1.319148936170213	1.073139974779319	2.61	0.21	4.35	1.3803418803418803	325	348	42.6	3.241525423728814	20.27777777777778	2665	2500	1.5547703180212014	3.37	149	160	7.975609756097562
34918	aIL10+aPD1	6.120032182993323	NA	0.161467935331701	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.5375005941217	5.38	2686	2676	2624	1.6	2198	4407	96.4	0.72	153	-169	7957	12.2	0.18	112	40.9	-21.2	360	333	1119	360	339	842	275	91.2	212	9.46	160	76.8	-8.98	0.076421249	6.685185185185184	7.988095238095238	6.2	28.2	840	5.31	5.53125	27	129	0.21	35.6	6.44	1642	39.8	65	35	6.947368421052632	7.27	1.00352733686067	7.984496124031008	13.9	7.28	49.1	10.4	8411	4.63	1.67	18	6.48	93.5	8045	66.7	23.7	-61.6	24.3	75.7	28.3	1.0034071550255537	12.3	75.8	1.03551912568306	17.7	0.6766304347826088	3.68	1.0448430493273544	0.810671256454389	2.66	0.3	3.21	1.1305841924398625	407	418	27.7	1.0596330275229358	1.3043478260869565	2266	2193	1.0680473372781067	6.11	219	195	1.0909090909090908
RBf17	aIL10+aPD1	2.1929740890887364	NA	0.14968813410401	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.3418588624121	5.36	2364	2480	2457	2.52	2514	4334	123	0.83	1942	-184	7714	5.61	0.23	1764	43.7	-40.5	410	255	2728	461	252	1608	112	79.6	244	-40.6	407	65.6	-8.98	0.067101584	4.565217391304348	3.872727272727272	2.85	0	742	3.66	7.956521739130435	65.5	287	0.27	28.4	7.16	1917	28.2	50	50	4.852941176470588	8.17	1.191256830601093	7.132352941176469	10.7	3.01	62.4	6.41	9996	3.72	0.98	8.98	4.8	95.2	9664	77.5	14.7	-74.5	14.7	85.3	17.3	1.1865942028985506	5.52	78.5	1.0782967032967032	11	1.1670190274841437	4.73	1.330232558139535	1.6986027944111777	2.62	0.23	6.26	1.118811881188119	464	477	39.6	2.7872340425531914	8.818181818181818	2946	2992	1.3426395939086295	4.8	192	209	6.6
RBv17	aIL10+aPD1	3.375811792597409	NA	0.216074762330101	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.074385670994	3.12	2193	2283	2275	3	1032	2963	143	0.45	2144	-179	8135	9.32	0.22	1751	50.8	-47.7	383	246	3227	663	340	996	207	57.8	215	87.8	237	49.1	-20.5	0	2	4.285714285714286	1.34	62.9	868	2.88	1.8580645161290321	291	1735	0.092	22.5	12.5	1764	146	42.9	57.1	5.7894736842105265	4.28	0.9247311827956989	3.7228915662650603	6.57	2.25	66.7	1.88	10920	2.02	0.42	51.4	2.49	97.5	10821	81.2	9.12	-42.4	9.9	90.1	12	1.0542635658914727	5.54	72.5	1.0804769001490313	8.34	0.48821548821548816	2.97	1.6312499999999999	0.8056206088992975	2.77	0.15	2.03	1.674329501915709	332	339	72	1.3763440860215053	3.3846153846153846	2377	2332	1.2698412698412698	4.04	156	151	2.7894736842105265
RBe17	Control	6.736581168118351	4.150453956	0.142442046298568	1.58	2198	2168	4.02	2355	2328	4.27	3.15	3.44	4.98	1.33	4.86	120	44.1365876262989	2.95	2328	2951	2951	2.32	1998	2744	96.4	0.97	1518	-219	9280	17.2	0.13	1059	20.8	-18.8	191	108	1459	226	104	589	344	171	146	121	222	70.2	50.1	0.020503262	1.032258064516129	0.8214285714285714	3.23	70.6	772	0.69	1.1311475409836065	155	427	0.22	33	4.02	1767	46.2	52.6	47.4	0.975609756097561	7.5	1.0846456692913387	1.2391304347826089	30.5	10.1	38.2	10.7	6253	14.3	3.01	60.4	17.4	82.6	4662	46	43	-100	42.2	57.8	48	1.1346153846153848	1.85	63.5	0.9937402190923318	14.6	0.6115942028985507	13.8	0.7783505154639175	0.7689969604863223	3.42	0.073	8.7	0.7452830188679245	430	547	9.11	1.0701754385964912	5.357142857142857	3393	3305	0.9849056603773585	8.06	211	303	1.3043478260869563
REq17	Control	4.051220006633968	3.047989624	0.120167367385644	0.48	1935	1928	3.03	1987	2011	4.71	7.24	5.98	6.31	2.26	9.87	96.4	51.8908244370779	1.66	2793	2665	2665	1.46	2292	3641	68.1	0.7	1159	-221	10179	20.4	0.16	681	38.5	-18.8	199	133	1190	192	117	742	245	133	191	90.9	86.1	56.5	-34.7	0.01584343	1.9333333333333333	1.4615384615384615	3.72	12.8	879	1.52	1.974025974025974	194	564	0.22	23.8	8.25	2193	75.8	50.7	49.3	2.528735632183908	17.5	0.8338983050847458	1.6302521008403361	12.4	6.04	50.1	7.3	7731	6.01	1.76	-2.57	8.04	92	7496	65.4	20.9	-66.8	21	79	26.6	0.8245901639344262	2.63	66.6	0.8999999999999999	15.8	0.5142857142857142	5.95	0.726027397260274	0.52088772845953	4.1	0.059	6.1	0.6374331550802139	450	622	22.9	0.5112474437627812	2.558139534883721	3708	3101	0.9755501222493888	12.8	334	419	0.8571428571428571
REu17	Control	6.799717842870519	4.6692607	0.193001366884472	0.5	2355	2273	3.43	2447	2410	4.09	1.64	3.26	6.31	0.99	3.14	107	44.6514066274744	0.96	2963	2529	2500	0.86	5824	4976	69.4	0.85	1089	-197	9951	15.9	0.14	950	30.1	-16.1	213	105	1225	240	107	439	399	80.9	175	112	86.1	56.2	-75.8	0.002795899	0.6390977443609022	0.2857142857142857	5.05	107	760	1.87	0.8947368421052633	250	1453	0.17	30.3	8.24	2854	175	58.4	41.6	1.4999999999999998	4.52	1	0.35179153094462545	9.13	5.02	45.6	4.8	9795	5.04	2.47	97.7	8.27	91.7	9729	71.3	16.6	-21.8	17.5	82.5	20.6	0.9751243781094527	2.4	72	0.9242618741976892	12.5	0.8413461538461539	4.16	0.9230769230769231	1.0813492063492063	2.15	0.031	7.07	0.7526881720430106	435	489	18.3	1.4080717488789238	4.230769230769231	3339	3539	1.246031746031746	11.2	215	214	7.249999999999999
RMl17	Control	6.553046294458729	4.86381323	0.1104629461547	1	1744	1723	3.87	2040	2067	5.6	5.25	7.47	5.93	3	5.32	107	66.6109503691242	1.13	2103	2655	2676	1.51	2793	3525	117	0.99	1994	-248	10087	10.8	0.1	1588	22.8	-53.4	185	59.1	1670	220	65.5	506	271	136	144	50.7	269	68.6	39.8	0.006523765	1.0526315789473684	1.2291666666666667	2.26	125	858	1.06	1.0927835051546393	366	1453	0.22	25.5	6.52	2323	148	43.4	56.6	2.6315789473684212	5.75	0.936734693877551	2.4133333333333336	16.6	5.24	51.9	5.38	9513	5.73	1.35	151	7.17	92.8	9095	57.9	21.2	-73.2	23.1	76.9	27.4	0.9478079331941545	2.38	62.8	0.942942942942943	10.2	0.6391437308868501	6.54	1.4942528735632183	0.7105882352941176	2.77	0.051	7.68	1.2804232804232805	326	541	34.4	1.48868778280543	2.0454545454545454	2951	3004	0.9358600583090381	9	199	295	2.024390243902439
RTd17	Control	7.5481538040558664	3.696498054	0.135532174434918	0.95	2181	2168	3.87	2355	2380	6.67	5.78	6.78	7.4	2.27	2.82	127	88.6800737503743	2.38	2578	3273	3266	1.88	7064	5568	83.5	3.73	426	-286	13114	18.3	0.13	240	7.57	-49.3	194	84.8	1239	226	103	457	405	186	158	154	242	56.6	-5.13	0.004659832	0.3768115942028986	0.5621621621621622	4.87	60.4	753	0.42	0.37168141592920356	194	473	0.54	29.7	4.01	1699	59.1	66.8	33.2	0.49333333333333335	6.09	0.7371900826446282	0.7142857142857143	31.5	12.7	29.3	8.35	4997	16.1	4.03	88.7	21	79	3227	38.1	48.9	-82.2	47.7	52.3	55.5	0.7786116322701689	1.61	48.6	0.7286356821589205	16	0.75234375	12.8	0.7673267326732673	0.7066848567530696	2.27	0.061	10	0.8943661971830986	435	863	10.6	0.7944297082228117	0	5568	5486	0.9551656920077973	13.5	290	627	0.8974358974358974
RVz16	Control	2.0574866595653614	6.160830091	0.125891824761106	0.92	2040	2004	4	2091	2067	6.02	5.5	6.02	7.84	2.02	5.53	140	67.918072491132	3.94	2400	3095	3028	2.25	1758	2396	96.4	0.74	1484	-205	9929	13.5	0.13	892	34	-28.4	317	255	1895	329	255	967	290	-19.3	208	40.6	131	65.4	66.8	0.011183597	0.8333333333333334	1.7058823529411762	1.82	139	1084	0.54	1	421	1791	0.14	28.8	6.47	2025	224	42.7	57.3	4.199999999999999	3.77	1.0175438596491229	2.787878787878788	9.84	2.32	66.6	2.36	9555	5.42	0.84	136	6.35	93.6	9406	74.4	12.9	-47.5	12.7	87.3	15.4	1.0323325635103928	1.68	57.4	0.9125596184419714	8.29	1.6678200692041523	2.89	1.5474452554744524	1.028523489932886	2.53	0.08	5.86	1.6767676767676767	323	377	34.9	2.440559440559441	7.014925373134328	3151	3089	1.0695652173913044	3.79	183	220	9.036144578313252
RZg17	Control	4.267463612601045	3.826199741	0.14406014177727	1.64	2168	2136	2.2	2140	2140	4.33	2.32	2.4	4.59	0.77	7.92	103	54.6475772390687	1.74	3034	2987	2987	1.85	4791	3739	91.2	1.44	950	-173	8467	9.93	0.1	600	18.5	-22.3	333	228	1636	433	246	1260	263	135	255	11.9	99	59.6	-93.8	0.019571295	1.053763440860215	1.2826086956521738	4.78	83.5	786	1.62	1.08	215	929	0.37	31.8	8.28	2080	69.4	50.8	49.2	1.5	4.85	0.9754098360655739	1.4767441860465116	10.5	4.09	49.1	5.85	8600	9.04	2.73	46.2	12.2	87.8	8336	70.7	16.7	-104	16.2	83.8	20.3	0.9686274509803922	3.16	57.2	0.9744463373083475	9.29	0.35454545454545455	14.3	1.0309278350515465	1.2089285714285714	2.25	0.085	5.2	0.945631067961165	436	478	15.5	1.8333333333333333	NA	4185	4343	1.2794117647058822	9.58	203	232	4.947368421052631
RVi17	Control	7.314670930752972	NA	0.132963108857831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.7079151523735	3.38	3151	3663	3641	2.56	4202	4841	69.4	2.21	769	-272	12438	17.8	0.17	461	17.3	-28	221	161	1667	234	147	847	437	164	177	297	105	55.5	-269	0.011183597	0.8333333333333334	0.7857142857142858	6.64	21.8	750	0.96	1.0212765957446808	118	290	0.61	35.4	5.52	1758	113	57.8	42.2	1.2307692307692308	18.8	0.7793851717902351	0.9158415841584159	8.47	5.62	48.2	9.55	8562	3.97	1.3	20.5	5.41	94.6	8299	66.6	14.8	-78.4	17.3	82.7	22.1	0.7827586206896552	2.23	51.4	0.8263665594855305	11.6	0.44274809160305345	13.1	1.0374149659863945	0.7020689655172414	3.13	0.035	10.3	0.5782227784730913	657	767	18.2	1.1616438356164385	3.3962264150943398	5486	5347	1.0989761092150172	10.3	287	374	1.4761904761904763
