parameter	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	2.8999999999999972	1.8588554946525562	1.5600997540381933	0.13182693487827274	0.3954808046348182	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	3.0625000000000004	1.9716139882720451	1.5532959383616596	0.13344118869257796	0.3954808046348182	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	-0.35300000000000054	1.5338273498949335	-0.2301432426695096	0.8199308023731926	0.8199308023731926	-1
LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-1.921999999999999	1.6268695804201487	-1.1814100055295342	0.24901477445632517	0.49802954891265033	-1
LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	aIL10+aPD1	groupaIL10	-0.514	0.7214619169568456	-0.7124423173548398	0.48306030693970614	0.48306030693970614	-1
LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	aIL10+aPD1	groupControl	-1.1515000000000009	0.7652259207720471	-1.5047843633397002	0.1454274118934143	0.2908548237868286	-1
LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	aIL10+aPD1	groupaIL10	-99.59999999999962	700.7275339143696	-0.1421379854215504	0.8881575034168874	1	-1
LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	aIL10+aPD1	groupControl	-384.1499999999996	743.2337864924659	-0.5168629400083034	0.6099824311555034	1	-1
LN_CD3p_CD4p_TEM_TCF1n	aIL10+aPD1	groupaIL10	0.7899999999999974	3.449512129065708	0.2290178930937596	0.820795363794553	1	-1
LN_CD3p_CD4p_TEM_TCF1n	aIL10+aPD1	groupControl	-0.8199999999999977	3.6587601273714117	-0.22411963929133447	0.8245611821161191	1	-1
LN_CD3p_CD4p_TEM_TCF1p	aIL10+aPD1	groupaIL10	-0.7900000000000038	3.449512129065706	-0.22901789309376158	0.8207953637945515	1	-1
LN_CD3p_CD4p_TEM_TCF1p	aIL10+aPD1	groupControl	0.8199999999999986	3.658760127371409	0.22411963929133488	0.8245611821161187	1	-1
LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-15.700000000000019	38.43557728447012	-0.40847571727102944	0.6865461774435114	1	-1
LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	4.474999999999999	40.76708600500268	0.10976992565646843	0.9135045573101476	1	-1
LN_CD3p_CD4p_TNFAp_GAG	aIL10+aPD1	groupaIL10	-0.08069999999999998	0.038173865249608106	-2.114011758367289	0.04509550923526791	0.13528652770580374	-1
LN_CD3p_CD4p_TNFAp_GAG	aIL10+aPD1	groupControl	-0.05324999999999999	0.040489498473149095	-1.3151558307227025	0.20088520787262248	0.28711342720545735	-1
LN_CD3p_CD4p_TNFAp_GAG_UNS	aIL10+aPD1	groupaIL10	-1.3239842898913332	0.8326805899014559	-1.5900266031756798	0.12491660637442645	0.3747498191232793	-1
LN_CD3p_CD4p_TNFAp_GAG_UNS	aIL10+aPD1	groupControl	-0.5221824550158728	0.8831911375226011	-0.5912451255802031	0.559884194262777	0.559884194262777	-1
LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-32.60000000000007	322.06931499401526	-0.1012204469109572	0.920216356429994	1	-1
LN_CD3p_CD4p_TOXpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	33.12499999999981	341.60609496656167	0.09696841036528422	0.9235567174270056	1	-1
LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupaIL10	337.1999999999998	147.15921366556245	2.2913957719720397	0.031017715563399356	0.09305314669019807	-1
LN_CD3p_CD4p_notToxpIRF4p_MFI_BCL2	aIL10+aPD1	groupControl	84.45	156.0859168454989	0.5410481721012187	0.5934613572640135	1	-1
LN_CD3p_CD8p_CD25p	aIL10+aPD1	groupaIL10	-0.03100000000000008	0.5493817033287339	-0.056427070308620354	0.9554687421655292	1	-1
LN_CD3p_CD8p_CD25p	aIL10+aPD1	groupControl	-0.21549999999999994	0.5827072918253458	-0.36982547330914733	0.7147559454789988	1	-1
LN_CD3p_CD8p_CX3CR1p_GAG_UNS	aIL10+aPD1	groupaIL10	-0.05446546306729748	0.10843910395256803	-0.5022677344431122	0.6200565533601454	0.9814675459979301	-1
LN_CD3p_CD8p_CX3CR1p_GAG_UNS	aIL10+aPD1	groupControl	-0.08049764446084065	0.11501703862598071	-0.699875822073699	0.49073377299896503	0.9814675459979301	-1
LN_CD3p_CD8p_IFNGp_GAG_UNS	aIL10+aPD1	groupaIL10	-2.0272325874270836	1.8058350323517276	-1.1226012072581355	0.2727123526377783	0.5736998221831457	-1
LN_CD3p_CD8p_IFNGp_GAG_UNS	aIL10+aPD1	groupControl	-0.05433070840909016	1.9153772956202026	-0.028365538493812927	0.9776051665070271	0.9776051665070271	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	0.8659999999999987	1.5127765262762314	0.5724573226500924	0.5723363899169489	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	1.0097500000000006	1.604541810224629	0.6293073783216905	0.5350928713447234	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	0.5549999999999998	0.8734829127175435	0.635387357805669	0.5311879047014629	1	-1
LN_CD3p_CD8p_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-0.18450000000000025	0.9264685362497285	-0.19914329821371127	0.8438281681256063	1	-1
LN_CD3p_CD8p_IRF4nTCF1pTOXn	aIL10+aPD1	groupaIL10	-0.8300000000000042	4.112775718069592	-0.20181017806377735	0.8417659366782803	1	-1
LN_CD3p_CD8p_IRF4nTCF1pTOXn	aIL10+aPD1	groupControl	1.0025000000000002	4.362257399619573	0.22981220688339643	0.8201850999212188	1	-1
LN_CD3p_CD8p_KI67p	aIL10+aPD1	groupaIL10	0.11400000000000003	0.46483942439964193	0.24524597961378908	0.8083509134309014	0.8083509134309014	-1
LN_CD3p_CD8p_KI67p	aIL10+aPD1	groupControl	0.604	0.49303666373375754	1.2250610237095132	0.2324399984348512	0.6973199953045536	-1
LN_CD3p_CD8p_KI67p_UNS	aIL10+aPD1	groupaIL10	0.8909999999999999	1.1034318354462092	0.8074807807585999	0.4273204156185668	1	-1
LN_CD3p_CD8p_KI67p_UNS	aIL10+aPD1	groupControl	0.8770000000000004	1.1703662001317	0.7493381130635118	0.4609356957911126	1	-1
LN_CD3p_CD8p_MFI_TCF1_UNS	aIL10+aPD1	groupaIL10	36.499999999998906	421.4909920378462	0.08659734297885428	0.931710023782715	0.931710023782715	-1
LN_CD3p_CD8p_MFI_TCF1_UNS	aIL10+aPD1	groupControl	-540.85	447.05870801850926	-1.2097963652183408	0.23813901991167216	0.4762780398233443	-1
LN_CD3p_CD8p_Naive	aIL10+aPD1	groupaIL10	-4.859999999999996	4.161735415264485	-1.1677820704733903	0.2543655126804603	0.2543655126804603	-1
LN_CD3p_CD8p_Naive	aIL10+aPD1	groupControl	-7.864999999999998	4.414187000456596	-1.7817550545970202	0.08744854764162643	0.17489709528325287	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	0.7800000000000001	1.2019997424926432	0.6489186082373675	0.522552714609594	0.522552714609594	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	aIL10+aPD1	groupControl	1.8270000000000006	1.2749132533515481	1.433038675531141	0.16474568690870592	0.4651682769509444	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	aIL10+aPD1	groupaIL10	0.4260000000000001	0.48087977410456456	0.8858763103381613	0.38447467533657664	0.7689493506731533	-1
LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	0.31200000000000033	0.5100500238071891	0.6117047062778761	0.5464846781645014	0.7689493506731533	-1
LN_CD3p_CD8p_Naive_TCF1n	aIL10+aPD1	groupaIL10	1.1409999999999998	1.6291873750358457	0.7003491541142683	0.4904434849450007	0.4904434849450007	-1
LN_CD3p_CD8p_Naive_TCF1n	aIL10+aPD1	groupControl	2.10325	1.7280141610670365	1.217148590206725	0.23538111438386403	0.47076222876772805	-1
LN_CD3p_CD8p_Naive_TCF1p	aIL10+aPD1	groupaIL10	-1.1300000000000194	1.6297547653675037	-0.6933558496116491	0.4947423604667257	0.4947423604667257	-1
LN_CD3p_CD8p_Naive_TCF1p	aIL10+aPD1	groupControl	-2.1000000000000005	1.7286159693936791	-1.2148447296461031	0.23624272198661384	0.47248544397322767	-1
LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupaIL10	-12.749999999999991	17.6599780324649	-0.7219714529973514	0.47728801773827767	0.47728801773827767	-1
LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	aIL10+aPD1	groupControl	-23.522500000000004	18.73123533354209	-1.255790105732011	0.22128055161698648	0.44256110323397296	-1
LN_CD3p_CD8p_TCF1n	aIL10+aPD1	groupaIL10	0.8740000000000006	2.3614320539109515	0.37011439670792184	0.714543461071375	1	-1
LN_CD3p_CD8p_TCF1n	aIL10+aPD1	groupControl	0.18749999999999856	2.5046769279475662	0.07485995415530244	0.9409466302923104	1	-1
LN_CD3p_CD8p_TCF1nCD101n	aIL10+aPD1	groupaIL10	1.231999999999998	2.2368211659789496	0.5507816265055818	0.5868743664948357	1	-1
LN_CD3p_CD8p_TCF1nCD101n	aIL10+aPD1	groupControl	0.9729999999999985	2.372507122147973	0.41011468033827575	0.6853597929646985	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	aIL10+aPD1	groupaIL10	-26.386999999999993	34.632066205135736	-0.7619239303743002	0.45352843332519566	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	aIL10+aPD1	groupControl	-28.032499999999995	36.732853290229414	-0.7631451817399758	0.4528134970252222	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	aIL10+aPD1	groupaIL10	-511.09999999999974	198.55967204620177	-2.5740372893095564	0.01665180173685217	0.04995540521055651	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_CD101	aIL10+aPD1	groupControl	146.52499999999998	210.6043358610694	0.6957359135125262	0.4932769036507366	0.9865538073014732	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	aIL10+aPD1	groupaIL10	-160.10000000000002	56.12902387738959	-2.852356747726963	0.00878883669172003	0.02636651007516009	-1
