var1	var2	cor	statistic	p	method	p.adj
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_PBMC_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	-0.44	4198.43543698896	0.0262	Spearman	0.0712844155844155
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn	-0.43	4172	0.0309	Spearman	0.0766100591715976
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TNFAp_GAG	-0.4	4577.181377	0.0402	Spearman	0.0915005405405405
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	0.45	1816	0.0208	Spearman	0.0613746478873239
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXp	0.46	1780.77177314575	0.0167	Spearman	0.0530098484848484
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TCF1	0.48	1699.7594076774	0.0111	Spearman	0.0407973684210526
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_PBMC_CD3p_CD4p_TEM_TOXpIRF4p_MFI_CX3CR1	0.66	988	3.2e-4	Spearman	0.00478857142857142
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETn_MFI_KI67	0.74	848.888430640413	9.88e-6	Spearman	5.17465e-4
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk21_LN_CD3p_CD4_CD95pCD28nTEM	0.8	663.6012518	6.36e-7	Spearman	2.2207e-4
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG	-0.66	5435.32959316274	1.85e-4	Spearman	0.00322979166666666
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn	-0.65	5420.3273032612	2.12e-4	Spearman	0.00352926923076923
