group	animal	WkPost-TX	VL
aIL-10	RHm17	-18	15
aIL-10	RHm17	-14	15
aIL-10	RHm17	-4	15
aIL-10	RHm17	-1	15
aIL-10	RHm17	1	15
aIL-10	RHm17	5	40
aIL-10	RHm17	7	15
aIL-10	RHm17	9	15
aIL-10	RHm17	12	15
aIL-10	RHm17	13	15
aIL-10	RHm17	14	140000
aIL-10	RHm17	15	1500000
aIL-10	RHm17	16	85000
aIL-10	RHm17	17	72000
aIL-10	RHm17	18	130000
aIL-10	RHm17	19	94000
aIL-10	RHm17	20	75000
aIL-10	RHm17	21	79000
aIL-10	RHm17	22	140000
aIL-10	RHm17	23	51000
aIL-10	RHm17	24	53000
aIL-10	RHm17	25	37000
aIL-10	RHm17	26	120000
aIL-10	RHm17	28	93000
aIL-10	RHm17	30	43000
aIL-10	RHm17	32	78000
aIL-10	RHm17	34	80000
aIL-10	RHm17	36	31000
aIL-10	RVc17	-64	669696
aIL-10	RVc17	-63	29000000
aIL-10	RVc17	-61	3009533
aIL-10	RVc17	-59	611055
aIL-10	RVc17	-57	538
aIL-10	RVc17	-53	40
aIL-10	RVc17	-49	40
aIL-10	RVc17	-46	40
aIL-10	RVc17	-42	15
aIL-10	RVc17	-38	15
aIL-10	RVc17	-34	5
aIL-10	RVc17	-30	15
aIL-10	RVc17	-26	65
aIL-10	RVc17	-22	15
aIL-10	RVc17	-18	15
aIL-10	RVc17	-14	15
aIL-10	RVc17	-1	15
aIL-10	RVc17	1	15
aIL-10	RVc17	5	15
aIL-10	RVc17	7	15
aIL-10	RVc17	9	15
aIL-10	RVc17	12	15
aIL-10	RVc17	13	65
aIL-10	RVc17	14	49000
aIL-10	RVc17	15	210000
aIL-10	RVc17	16	11000
aIL-10	RVc17	17	5200
aIL-10	RVc17	18	3600
aIL-10	RVc17	19	65
aIL-10	RVc17	20	15
aIL-10	RVc17	21	1300
aIL-10	RVc17	22	720
aIL-10	RVc17	23	610
aIL-10	RVc17	24	1100
aIL-10	RVc17	25	1100
aIL-10	RVc17	26	760
aIL-10	RVc17	28	500
aIL-10	RVc17	30	1200
aIL-10	RVc17	32	1400
aIL-10	RVc17	34	1500
aIL-10	RVc17	36	760
aIL-10	RVm17	-64	783289
aIL-10	RVm17	-63	5808513
aIL-10	RVm17	-61	596661
aIL-10	RVm17	-59	268140
aIL-10	RVm17	-57	82
aIL-10	RVm17	-53	15
aIL-10	RVm17	-49	15
aIL-10	RVm17	-45	15
aIL-10	RVm17	-41	15
aIL-10	RVm17	-37	15
aIL-10	RVm17	-33	15
aIL-10	RVm17	-29	15
aIL-10	RVm17	-26	15
aIL-10	RVm17	-22	15
aIL-10	RVm17	-18	15
aIL-10	RVm17	-14	15
aIL-10	RVm17	-4	15
aIL-10	RVm17	-1	15
aIL-10	RVm17	1	15
aIL-10	RVm17	5	15
aIL-10	RVm17	7	15
aIL-10	RVm17	9	15
aIL-10	RVm17	12	15
aIL-10	RVm17	13	25
aIL-10	RVm17	14	69000
aIL-10	RVm17	15	160000
aIL-10	RVm17	16	19000
aIL-10	RVm17	17	1700
aIL-10	RVm17	18	1600
aIL-10	RVm17	19	1100000
aIL-10	RVm17	20	5700
aIL-10	RVm17	21	5800
aIL-10	RVm17	22	9400
aIL-10	RVm17	23	8000
aIL-10	RVm17	24	6700
aIL-10	RVm17	25	8800
aIL-10	RVm17	26	21000
aIL-10	RVm17	28	40000
aIL-10	RVm17	30	10000
aIL-10	RVm17	32	8400
aIL-10	RVm17	34	6700
aIL-10	RVm17	36	6600
aIL-10	RYk17	-64	577300
aIL-10	RYk17	-63	7916772
aIL-10	RYk17	-61	163810
aIL-10	RYk17	-59	8022
aIL-10	RYk17	-57	60
aIL-10	RYk17	-53	15
aIL-10	RYk17	-49	15
aIL-10	RYk17	-45	15
aIL-10	RYk17	-41	15
aIL-10	RYk17	-37	15
aIL-10	RYk17	-33	15
aIL-10	RYk17	-29	40
aIL-10	RYk17	-26	15
aIL-10	RYk17	-22	15
aIL-10	RYk17	-18	15
aIL-10	RYk17	-14	15
aIL-10	RYk17	-4	15
aIL-10	RYk17	-1	15
aIL-10	RYk17	1	15
aIL-10	RYk17	5	15
aIL-10	RYk17	7	15
aIL-10	RYk17	9	15
aIL-10	RYk17	12	15
aIL-10	RYk17	13	15
aIL-10	RYk17	14	1400
aIL-10	RYk17	15	25
aIL-10	RYk17	16	15
aIL-10	RYk17	17	15
aIL-10	RYk17	18	15
aIL-10	RYk17	19	15
aIL-10	RYk17	20	65
aIL-10	RYk17	21	15
aIL-10	RYk17	22	15
aIL-10	RYk17	23	15
aIL-10	RYk17	24	15
aIL-10	RYk17	25	15
aIL-10	RYk17	26	15
aIL-10	RYk17	28	15
aIL-10	RYk17	30	15
aIL-10	RYk17	32	15
aIL-10	RYk17	34	40
aIL-10	RYk17	36	25
aIL-10	RZp17	-64	1897982
aIL-10	RZp17	-63	4726730
aIL-10	RZp17	-61	772565
aIL-10	RZp17	-59	51026
aIL-10	RZp17	-57	60
aIL-10	RZp17	-53	40
aIL-10	RZp17	-49	15
aIL-10	RZp17	-46	15
aIL-10	RZp17	-42	15
aIL-10	RZp17	-38	15
aIL-10	RZp17	-34	15
aIL-10	RZp17	-30	15
aIL-10	RZp17	-26	40
aIL-10	RZp17	-22	15
aIL-10	RZp17	-18	15
aIL-10	RZp17	-14	15
aIL-10	RZp17	-1	15
aIL-10	RZp17	1	15
aIL-10	RZp17	5	15
aIL-10	RZp17	7	15
aIL-10	RZp17	9	15
aIL-10	RZp17	12	15
aIL-10	RZp17	13	15
aIL-10	RZp17	14	40
aIL-10	RZp17	15	650
aIL-10	RZp17	16	25
aIL-10	RZp17	17	15
aIL-10	RZp17	18	25
aIL-10	RZp17	19	65
aIL-10	RZp17	20	1700
aIL-10	RZp17	21	25
aIL-10	RZp17	22	25
aIL-10	RZp17	23	15
aIL-10	RZp17	24	15
aIL-10	RZp17	25	15
aIL-10	RZp17	26	25
aIL-10	RZp17	28	25
aIL-10	RZp17	30	25
aIL-10	RZp17	32	65
aIL-10	RZp17	34	470
aIL-10	RZp17	36	25
aIL-10+aPD-1	34918	-64	3069830
aIL-10+aPD-1	34918	-63	19950599
aIL-10+aPD-1	34918	-61	2842135
aIL-10+aPD-1	34918	-59	1246875
aIL-10+aPD-1	34918	-57	2171
aIL-10+aPD-1	34918	-53	540
aIL-10+aPD-1	34918	-49	65
aIL-10+aPD-1	34918	-46	25
aIL-10+aPD-1	34918	-42	25
aIL-10+aPD-1	34918	-38	15
aIL-10+aPD-1	34918	-34	15
aIL-10+aPD-1	34918	-30	15
aIL-10+aPD-1	34918	-26	15
aIL-10+aPD-1	34918	-22	15
aIL-10+aPD-1	34918	-18	15
aIL-10+aPD-1	34918	-14	15
aIL-10+aPD-1	34918	-1	15
aIL-10+aPD-1	34918	1	15
aIL-10+aPD-1	34918	5	15
aIL-10+aPD-1	34918	7	15
aIL-10+aPD-1	34918	9	25
aIL-10+aPD-1	34918	12	15
aIL-10+aPD-1	34918	13	180
aIL-10+aPD-1	34918	14	140000
aIL-10+aPD-1	34918	15	3700
aIL-10+aPD-1	34918	16	1500
aIL-10+aPD-1	34918	17	210000
aIL-10+aPD-1	34918	18	89000
aIL-10+aPD-1	34918	19	34000
aIL-10+aPD-1	34918	20	10000
aIL-10+aPD-1	34918	21	7100
aIL-10+aPD-1	34918	22	6300
aIL-10+aPD-1	34918	23	29000
aIL-10+aPD-1	34918	24	9800
aIL-10+aPD-1	34918	25	4500
aIL-10+aPD-1	34918	26	1600
aIL-10+aPD-1	34918	28	1000
aIL-10+aPD-1	34918	30	760
aIL-10+aPD-1	34918	32	1300
aIL-10+aPD-1	34918	34	5000
aIL-10+aPD-1	34918	36	22000
aIL-10+aPD-1	Rbf17	-64	1192462
aIL-10+aPD-1	Rbf17	-63	28800000
aIL-10+aPD-1	Rbf17	-61	6413851
aIL-10+aPD-1	Rbf17	-59	5319891
aIL-10+aPD-1	Rbf17	-57	19434
aIL-10+aPD-1	Rbf17	-53	1700
aIL-10+aPD-1	Rbf17	-49	830
aIL-10+aPD-1	Rbf17	-46	290
aIL-10+aPD-1	Rbf17	-42	65
aIL-10+aPD-1	Rbf17	-38	360
aIL-10+aPD-1	Rbf17	-34	180
aIL-10+aPD-1	Rbf17	-30	15
aIL-10+aPD-1	Rbf17	-26	65
aIL-10+aPD-1	Rbf17	-22	15
aIL-10+aPD-1	Rbf17	-18	15
aIL-10+aPD-1	Rbf17	-14	15
aIL-10+aPD-1	Rbf17	-1	15
aIL-10+aPD-1	Rbf17	1	25
aIL-10+aPD-1	Rbf17	5	40
aIL-10+aPD-1	Rbf17	7	15
aIL-10+aPD-1	Rbf17	9	40
aIL-10+aPD-1	Rbf17	12	15
aIL-10+aPD-1	Rbf17	13	25
aIL-10+aPD-1	Rbf17	14	110000
aIL-10+aPD-1	Rbf17	15	91000
aIL-10+aPD-1	Rbf17	16	1500
aIL-10+aPD-1	Rbf17	17	1300
aIL-10+aPD-1	Rbf17	18	1400
aIL-10+aPD-1	Rbf17	19	40
aIL-10+aPD-1	Rbf17	20	65
aIL-10+aPD-1	Rbf17	21	65
aIL-10+aPD-1	Rbf17	22	2900
aIL-10+aPD-1	Rbf17	23	1900
aIL-10+aPD-1	Rbf17	24	150000
aIL-10+aPD-1	Rbf17	25	650
aIL-10+aPD-1	Rbf17	26	25
aIL-10+aPD-1	Rbf17	28	15
aIL-10+aPD-1	Rbf17	30	15
aIL-10+aPD-1	Rbf17	32	15
aIL-10+aPD-1	Rbf17	34	15
aIL-10+aPD-1	Rbf17	36	15
aIL-10+aPD-1	Rbv17	-64	4910293
aIL-10+aPD-1	Rbv17	-63	8780470
aIL-10+aPD-1	Rbv17	-61	370220
aIL-10+aPD-1	Rbv17	-59	227507
aIL-10+aPD-1	Rbv17	-57	473
aIL-10+aPD-1	Rbv17	-53	500
aIL-10+aPD-1	Rbv17	-49	65
aIL-10+aPD-1	Rbv17	-46	25
aIL-10+aPD-1	Rbv17	-42	25
aIL-10+aPD-1	Rbv17	-38	40
aIL-10+aPD-1	Rbv17	-34	25
aIL-10+aPD-1	Rbv17	-30	140
aIL-10+aPD-1	Rbv17	-26	40
aIL-10+aPD-1	Rbv17	-22	15
aIL-10+aPD-1	Rbv17	-18	25
aIL-10+aPD-1	Rbv17	-14	15
aIL-10+aPD-1	Rbv17	-1	15
aIL-10+aPD-1	Rbv17	1	15
aIL-10+aPD-1	Rbv17	5	15
aIL-10+aPD-1	Rbv17	7	15
aIL-10+aPD-1	Rbv17	9	15
aIL-10+aPD-1	Rbv17	12	15
aIL-10+aPD-1	Rbv17	13	15
aIL-10+aPD-1	Rbv17	14	15
aIL-10+aPD-1	Rbv17	15	9100
aIL-10+aPD-1	Rbv17	16	14000
aIL-10+aPD-1	Rbv17	17	65
aIL-10+aPD-1	Rbv17	18	2400
aIL-10+aPD-1	Rbv17	19	4800
aIL-10+aPD-1	Rbv17	20	13000
aIL-10+aPD-1	Rbv17	21	16000
aIL-10+aPD-1	Rbv17	22	6700
aIL-10+aPD-1	Rbv17	23	2600
aIL-10+aPD-1	Rbv17	24	1500
aIL-10+aPD-1	Rbv17	25	540
aIL-10+aPD-1	Rbv17	26	15
aIL-10+aPD-1	Rbv17	28	430
aIL-10+aPD-1	Rbv17	30	6400
aIL-10+aPD-1	Rbv17	32	15
aIL-10+aPD-1	Rbv17	34	200000
aIL-10+aPD-1	Rbv17	36	3300
aIL-10+aPD-1	RFl17	-64	1644535
aIL-10+aPD-1	RFl17	-63	12266817
aIL-10+aPD-1	RFl17	-61	365010
aIL-10+aPD-1	RFl17	-59	887359
aIL-10+aPD-1	RFl17	-57	1083
aIL-10+aPD-1	RFl17	-53	65
aIL-10+aPD-1	RFl17	-49	15
aIL-10+aPD-1	RFl17	-45	15
aIL-10+aPD-1	RFl17	-41	15
aIL-10+aPD-1	RFl17	-37	15
aIL-10+aPD-1	RFl17	-33	40
aIL-10+aPD-1	RFl17	-29	15
aIL-10+aPD-1	RFl17	-26	40
aIL-10+aPD-1	RFl17	-22	15
aIL-10+aPD-1	RFl17	-18	25
aIL-10+aPD-1	RFl17	-14	15
aIL-10+aPD-1	RFl17	-4	15
aIL-10+aPD-1	RFl17	-1	15
aIL-10+aPD-1	RFl17	1	15
aIL-10+aPD-1	RFl17	5	15
aIL-10+aPD-1	RFl17	7	15
aIL-10+aPD-1	RFl17	9	15
aIL-10+aPD-1	RFl17	12	15
aIL-10+aPD-1	RFl17	13	15
aIL-10+aPD-1	RFl17	14	130000
aIL-10+aPD-1	RFl17	15	10000
aIL-10+aPD-1	RFl17	16	15
aIL-10+aPD-1	RFl17	17	15
aIL-10+aPD-1	RFl17	18	15
aIL-10+aPD-1	RFl17	19	15
aIL-10+aPD-1	RFl17	20	15
aIL-10+aPD-1	RFl17	21	15
aIL-10+aPD-1	RFl17	22	15
aIL-10+aPD-1	RFl17	23	15
aIL-10+aPD-1	RFl17	24	15
aIL-10+aPD-1	RFl17	25	15
aIL-10+aPD-1	RFl17	26	15
aIL-10+aPD-1	RFl17	28	15
aIL-10+aPD-1	RFl17	30	15
aIL-10+aPD-1	RFl17	32	25
aIL-10+aPD-1	RFl17	34	25
aIL-10+aPD-1	RFl17	36	15
aIL-10+aPD-1	RIb17	-64	2119082
aIL-10+aPD-1	RIb17	-63	42600000
aIL-10+aPD-1	RIb17	-61	15670966
aIL-10+aPD-1	RIb17	-59	13876138
aIL-10+aPD-1	RIb17	-57	19057
aIL-10+aPD-1	RIb17	-53	4800
aIL-10+aPD-1	RIb17	-49	1200
aIL-10+aPD-1	RIb17	-45	320
aIL-10+aPD-1	RIb17	-41	790
aIL-10+aPD-1	RIb17	-37	1300
aIL-10+aPD-1	RIb17	-33	60
aIL-10+aPD-1	RIb17	-29	65
aIL-10+aPD-1	RIb17	-26	290
aIL-10+aPD-1	RIb17	-22	40
aIL-10+aPD-1	RIb17	-18	40
aIL-10+aPD-1	RIb17	-14	65
aIL-10+aPD-1	RIb17	-4	40
aIL-10+aPD-1	RIb17	-1	25
aIL-10+aPD-1	RIb17	1	40
aIL-10+aPD-1	RIb17	5	180
aIL-10+aPD-1	RIb17	7	25
aIL-10+aPD-1	RIb17	9	15
aIL-10+aPD-1	RIb17	12	15
aIL-10+aPD-1	RIb17	13	1300
aIL-10+aPD-1	RIb17	14	4200000
aIL-10+aPD-1	RIb17	15	2700000
aIL-10+aPD-1	RIb17	16	6000000
aIL-10+aPD-1	RIb17	17	3000000
aIL-10+aPD-1	RIb17	18	1500000
aIL-10+aPD-1	RIb17	19	1300
aIL-10+aPD-1	RIb17	20	820000
aIL-10+aPD-1	RIb17	21	910000
aIL-10+aPD-1	RIb17	22	1000000
aIL-10+aPD-1	RIb17	23	970000
aIL-10+aPD-1	RIb17	24	350000
aIL-10+aPD-1	RIb17	25	1100000
aIL-10+aPD-1	RIb17	26	3800000
aIL-10+aPD-1	RIb17	28	6800000
aIL-10+aPD-1	RIb17	30	3100000
aIL-10+aPD-1	RIb17	32	6500000
aIL-10+aPD-1	RIb17	34	7400000
aIL-10+aPD-1	RIb17	36	5700000
aIL-10+aPD-1	RKq17	-64	1182454
aIL-10+aPD-1	RKq17	-63	30400000
aIL-10+aPD-1	RKq17	-61	2089709
aIL-10+aPD-1	RKq17	-59	1109344
aIL-10+aPD-1	RKq17	-57	2715
aIL-10+aPD-1	RKq17	-53	860
aIL-10+aPD-1	RKq17	-49	360
aIL-10+aPD-1	RKq17	-46	430
aIL-10+aPD-1	RKq17	-42	65
aIL-10+aPD-1	RKq17	-38	65
aIL-10+aPD-1	RKq17	-34	40
aIL-10+aPD-1	RKq17	-30	15
aIL-10+aPD-1	RKq17	-26	40
aIL-10+aPD-1	RKq17	-22	15
aIL-10+aPD-1	RKq17	-18	25
aIL-10+aPD-1	RKq17	-14	15
aIL-10+aPD-1	RKq17	-1	25
aIL-10+aPD-1	RKq17	1	15
aIL-10+aPD-1	RKq17	5	40
aIL-10+aPD-1	RKq17	7	15
aIL-10+aPD-1	RKq17	9	15
aIL-10+aPD-1	RKq17	12	15
aIL-10+aPD-1	RKq17	13	25
aIL-10+aPD-1	RKq17	14	230000
aIL-10+aPD-1	RKq17	15	840000
aIL-10+aPD-1	RKq17	16	1300
aIL-10+aPD-1	RKq17	17	500
aIL-10+aPD-1	RKq17	18	2800
aIL-10+aPD-1	RKq17	19	1400
aIL-10+aPD-1	RKq17	20	65
aIL-10+aPD-1	RKq17	21	250
aIL-10+aPD-1	RKq17	22	15
aIL-10+aPD-1	RKq17	23	40
aIL-10+aPD-1	RKq17	24	65
aIL-10+aPD-1	RKq17	25	860
aIL-10+aPD-1	RKq17	26	1800
aIL-10+aPD-1	RKq17	28	40
aIL-10+aPD-1	RKq17	30	15
aIL-10+aPD-1	RKq17	32	6900
aIL-10+aPD-1	RNy16	-64	147812
aIL-10+aPD-1	RNy16	-63	14543856
aIL-10+aPD-1	RNy16	-61	273486
aIL-10+aPD-1	RNy16	-59	233115
aIL-10+aPD-1	RNy16	-57	89
aIL-10+aPD-1	RNy16	-53	25
aIL-10+aPD-1	RNy16	-49	15
aIL-10+aPD-1	RNy16	-45	15
aIL-10+aPD-1	RNy16	-41	15
aIL-10+aPD-1	RNy16	-37	15
aIL-10+aPD-1	RNy16	-33	15
aIL-10+aPD-1	RNy16	-29	15
aIL-10+aPD-1	RNy16	-26	15
aIL-10+aPD-1	RNy16	-22	15
aIL-10+aPD-1	RNy16	-18	15
aIL-10+aPD-1	RNy16	-14	15
aIL-10+aPD-1	RNy16	-4	15
aIL-10+aPD-1	RNy16	-1	15
aIL-10+aPD-1	RNy16	1	15
aIL-10+aPD-1	RNy16	5	15
aIL-10+aPD-1	RNy16	7	15
aIL-10+aPD-1	RNy16	9	15
aIL-10+aPD-1	RNy16	12	15
aIL-10+aPD-1	RNy16	13	15
aIL-10+aPD-1	RNy16	14	3700
aIL-10+aPD-1	RNy16	15	36000
aIL-10+aPD-1	RNy16	16	1200
aIL-10+aPD-1	RNy16	17	15
aIL-10+aPD-1	RNy16	18	15
aIL-10+aPD-1	RNy16	19	15
aIL-10+aPD-1	RNy16	20	25
aIL-10+aPD-1	RNy16	21	15
aIL-10+aPD-1	RNy16	22	25
aIL-10+aPD-1	RNy16	23	40
aIL-10+aPD-1	RNy16	24	40
aIL-10+aPD-1	RNy16	25	15
aIL-10+aPD-1	RNy16	26	15
aIL-10+aPD-1	RNy16	28	25
aIL-10+aPD-1	RNy16	30	15
aIL-10+aPD-1	RNy16	32	25
aIL-10+aPD-1	RNy16	34	15
aIL-10+aPD-1	RNy16	36	610
aIL-10+aPD-1	RRh17	-64	269774
aIL-10+aPD-1	RRh17	-63	8980535
aIL-10+aPD-1	RRh17	-61	829449
aIL-10+aPD-1	RRh17	-59	79736
aIL-10+aPD-1	RRh17	-57	82
aIL-10+aPD-1	RRh17	-53	15
aIL-10+aPD-1	RRh17	-49	15
aIL-10+aPD-1	RRh17	-45	15
aIL-10+aPD-1	RRh17	-41	15
aIL-10+aPD-1	RRh17	-37	15
aIL-10+aPD-1	RRh17	-33	15
aIL-10+aPD-1	RRh17	-29	15
aIL-10+aPD-1	RRh17	-26	15
aIL-10+aPD-1	RRh17	-22	15
aIL-10+aPD-1	RRh17	-18	15
aIL-10+aPD-1	RRh17	-14	15
aIL-10+aPD-1	RRh17	-4	15
aIL-10+aPD-1	RRh17	-1	15
aIL-10+aPD-1	RRh17	1	15
aIL-10+aPD-1	RRh17	5	15
aIL-10+aPD-1	RRh17	7	15
aIL-10+aPD-1	RRh17	9	15
aIL-10+aPD-1	RRh17	12	15
aIL-10+aPD-1	RRh17	13	15
aIL-10+aPD-1	RRh17	14	34000
aIL-10+aPD-1	RRh17	15	65
aIL-10+aPD-1	RRh17	16	15
aIL-10+aPD-1	RRh17	17	15
aIL-10+aPD-1	RRh17	18	15
aIL-10+aPD-1	RRh17	19	15
aIL-10+aPD-1	RRh17	20	15
aIL-10+aPD-1	RRh17	21	15
aIL-10+aPD-1	RRh17	22	15
aIL-10+aPD-1	RRh17	23	15
aIL-10+aPD-1	RRh17	24	15
aIL-10+aPD-1	RRh17	25	15
aIL-10+aPD-1	RRh17	26	15
aIL-10+aPD-1	RRh17	28	15
aIL-10+aPD-1	RRh17	30	3000
aIL-10+aPD-1	RRh17	32	25
aIL-10+aPD-1	RRh17	34	15
aIL-10+aPD-1	RRh17	36	40
aIL-10+aPD-1	RWs17	-64	1596028
aIL-10+aPD-1	RWs17	-63	10707315
aIL-10+aPD-1	RWs17	-61	513683
aIL-10+aPD-1	RWs17	-59	560092
aIL-10+aPD-1	RWs17	-57	457
aIL-10+aPD-1	RWs17	-53	140
aIL-10+aPD-1	RWs17	-49	15
aIL-10+aPD-1	RWs17	-46	40
aIL-10+aPD-1	RWs17	-42	15
aIL-10+aPD-1	RWs17	-38	15
aIL-10+aPD-1	RWs17	-34	15
aIL-10+aPD-1	RWs17	-30	15
aIL-10+aPD-1	RWs17	-26	40
aIL-10+aPD-1	RWs17	-22	15
aIL-10+aPD-1	RWs17	-18	15
aIL-10+aPD-1	RWs17	-14	15
aIL-10+aPD-1	RWs17	-1	15
aIL-10+aPD-1	RWs17	1	15
aIL-10+aPD-1	RWs17	5	15
aIL-10+aPD-1	RWs17	7	15
aIL-10+aPD-1	RWs17	9	15
aIL-10+aPD-1	RWs17	12	15
aIL-10+aPD-1	RWs17	13	15
aIL-10+aPD-1	RWs17	14	140000
aIL-10+aPD-1	RWs17	15	27000
aIL-10+aPD-1	RWs17	16	610
aIL-10+aPD-1	RWs17	17	1200
aIL-10+aPD-1	RWs17	18	790
aIL-10+aPD-1	RWs17	19	65
aIL-10+aPD-1	RWs17	20	610
aIL-10+aPD-1	RWs17	21	500
aIL-10+aPD-1	RWs17	22	2200
aIL-10+aPD-1	RWs17	23	1300
aIL-10+aPD-1	RWs17	24	3200
aIL-10+aPD-1	RWs17	25	5400
aIL-10+aPD-1	RWs17	26	5600
aIL-10+aPD-1	RWs17	28	470
aIL-10+aPD-1	RWs17	30	65
aIL-10+aPD-1	RWs17	32	320
aIL-10+aPD-1	RWs17	34	860
aIL-10+aPD-1	RWs17	36	650
aIL-10+aPD-1	RYm17	-64	809470
aIL-10+aPD-1	RYm17	-63	11641274
aIL-10+aPD-1	RYm17	-61	5037206
aIL-10+aPD-1	RYm17	-59	1280072
aIL-10+aPD-1	RYm17	-57	961
