ID_merge	ID	Group	Wk Post-TX	weeks post-ATI	IL10 Pr (pg/ml)
RFl17_aIL10+aPD1_28	RFl17	aIL10+aPD1	28	16	876.983193277311
RYm17_aIL10+aPD1_28	RYm17	aIL10+aPD1	28	16	1943.8739495798318
RNy16_aIL10+aPD1_28	RNy16	aIL10+aPD1	28	16	2368.075630252101
RRh17_aIL10+aPD1_28	RRh17	aIL10+aPD1	28	16	259.16806722689074
RIb17_aIL10+aPD1_28	RIb17	aIL10+aPD1	28	16	921.3529411764706
34918_aIL10+aPD1_28	34918	aIL10+aPD1	28	16	2723.0459518599564
RBf17_aIL10+aPD1_28	RBf17	aIL10+aPD1	28	16	1265.890590809628
RBv17_aIL10+aPD1_28	RBv17	aIL10+aPD1	28	16	2222.039387308534
RKq17_aIL10+aPD1_28	RKq17	aIL10+aPD1	28	16	1812.4113785557986
RWs17_aIL10+aPD1_28	RWs17	aIL10+aPD1	28	16	2601.5579868708974
RFl17_aIL10+aPD1_30	RFl17	aIL10+aPD1	30	18	457.48739495798316
RYm17_aIL10+aPD1_30	RYm17	aIL10+aPD1	30	18	3174.126050420168
RNy16_aIL10+aPD1_30	RNy16	aIL10+aPD1	30	18	1729.4201680672268
RRh17_aIL10+aPD1_30	RRh17	aIL10+aPD1	30	18	143.2016806722689
RIb17_aIL10+aPD1_30	RIb17	aIL10+aPD1	30	18	777.4873949579832
34918_aIL10+aPD1_30	34918	aIL10+aPD1	30	18	2093.199124726477
RBf17_aIL10+aPD1_30	RBf17	aIL10+aPD1	30	18	595.781181619256
RBv17_aIL10+aPD1_30	RBv17	aIL10+aPD1	30	18	1168.5601750547046
RKq17_aIL10+aPD1_30	RKq17	aIL10+aPD1	30	18	216.96280087527353
RWs17_aIL10+aPD1_30	RWs17	aIL10+aPD1	30	18	8573.024070021882
RFl17_aIL10+aPD1_34	RFl17	aIL10+aPD1	34	22	326.0588235294118
RYm17_aIL10+aPD1_34	RYm17	aIL10+aPD1	34	22	814.1260504201681
RNy16_aIL10+aPD1_34	RNy16	aIL10+aPD1	34	22	860.5126050420167
RRh17_aIL10+aPD1_34	RRh17	aIL10+aPD1	34	22	57.8235294117647
RIb17_aIL10+aPD1_34	RIb17	aIL10+aPD1	34	22	703.5378151260504
