ID_MERGE,animal,group,LOG_SIVRNA_LN_WK24_POST_ATI,wk36_LN_CD3p_CD4p_KI67p,wk36_LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB,wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TEM,wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn,wk36_LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn,wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG,wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD4p_TEM_TCF1n,wk36_LN_CD3p_CD4p_TEM_TCF1p,wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn,wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp,wk36_LN_CD3p_CD8p_IRF4nTCF1pTOXn,wk36_LN_CD3p_CD8p_KI67p,wk36_LN_CD3p_CD8p_MFI_TCF1_UNS,wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn,wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp,wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101,wk36_LN_CD3p_CD8p_Naive_TCF1n,wk36_LN_CD3p_CD8p_Naive_TCF1p,wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1,wk36_LN_CD3p_CD8p_TCFn,wk36_LN_CD3p_CD8p_TCF1nCD101n,wk36_LN_CD3p_CD8p_TCF1p,wk36_LN_CD3p_CD8p_TCF1pCD101n,wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG,wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS,wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp,wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS,wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS,wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET,wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET,wk36_PBMC_CD3p_CD4p_TEM_ID2p_GAG,wk36_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2,wk36_PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2,wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET,wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET
Control_RZg17,RZg17,Control,4.267463613,4.78,83.5,786,215,929,0.37,31.8,8.28,2080,69.4,50.8,49.2,10.5,4.09,49.1,5.85,8600,9.04,2.73,46.2,12.2,87.8,8336,20.3,16.7,83.8,70.7,57.2,0.974446337,9.29,1.208928571,2.25,436,478,15.5,4343,4185,203,232
aIL10_RVc17,RVc17,aIL10,4.487062777,3.95,77.1,745,170,519,0.11,37.2,4.83,1532,104,58.9,41.1,23.8,7.42,46.4,5.58,7365,15.9,3.29,68.1,19.4,80.6,6896,35.9,29.1,67.6,58.6,76.6,0.876430206,16.7,0.657010429,2.58,560,579,29,4008,3894,240,251
aIL10_RHm17,RHm17,aIL10,4.977098631,6,83.5,851,230,796,0.51,34,4.54,1567,129,64.5,35.5,19.1,10.7,37.4,7.09,6645,9.41,3.31,61.6,12.9,87.1,6186,40.6,27.5,65.7,50.4,72.5,1.004155125,20,1.069875776,1.38,320,444,29.5,2410,2279,133,178
aIL10_RZp17,RZp17,aIL10,5.512343907,3.9,71.9,828,187,477,0.25,31.5,6.16,1870,117,49.3,50.7,12.1,4.67,58.1,7.4,8262,5.13,1.26,66.8,6.76,93.2,8081,23.1,18.9,81.7,68.7,65.9,0.912742382,11.7,0.641633729,2.45,410,431,74.2,2619,2588,203,210
aIL10+aPD1_34918,34918,aIL10+aPD1,6.120032183,6.2,28.2,840,27,129,0.21,35.6,6.44,1642,39.8,65,35,13.9,7.28,49.1,10.4,8411,4.63,1.67,18,6.48,93.5,8045,28.3,23.7,75.7,66.7,75.8,1.035519126,17.7,0.810671256,2.66,407,418,27.7,2193,2266,219,195
aIL10+aPD1_RIb17,RIb17,aIL10+aPD1,6.446221042,1.74,165,935,493,2804,0.052,28.5,7.26,2377,219,44.6,55.4,15.1,5.04,54.1,4.58,9929,6.68,2.02,166,8.86,91.1,9685,25.3,19.7,78.5,62.3,66.8,1.143835616,9.68,0.943820225,1.42,245,294,22.8,2578,3201,199,226
Control_RMl17,RMl17,Control,6.553046294,2.26,125,858,366,1453,0.22,25.5,6.52,2323,148,43.4,56.6,16.6,5.24,51.9,5.38,9513,5.73,1.35,151,7.17,92.8,9095,27.4,21.2,76.9,57.9,62.8,0.942942943,10.2,0.710588235,2.77,326,541,34.4,3004,2951,199,295
aIL10_RVm17,RVm17,aIL10,6.679972694,4.59,11.6,775,147,588,0.26,32.4,6.93,2244,18,52.1,47.9,22.3,7.31,43.5,7.64,7834,19.6,4.34,-39.8,24.2,75.8,7237,35.3,32.1,69.5,56.1,56.7,0.876352396,13.6,0.753101737,4.15,404,472,15.2,4325,3761,257,299
Control_RBe17,RBe17,Control,6.736581168,3.23,70.6,772,155,427,0.22,33,4.02,1767,46.2,52.6,47.4,30.5,10.1,38.2,10.7,6253,14.3,3.01,60.4,17.4,82.6,4662,48,43,57.8,46,63.5,0.993740219,14.6,0.76899696,3.42,430,547,9.11,3305,3393,211,303
Control_REu17,REu17,Control,6.799717843,5.05,107,760,250,1453,0.17,30.3,8.24,2854,175,58.4,41.6,9.13,5.02,45.6,4.8,9795,5.04,2.47,97.7,8.27,91.7,9729,20.6,16.6,82.5,71.3,72,0.924261874,12.5,1.081349206,2.15,435,489,18.3,3539,3339,215,214
aIL10_RFn17,RFn17,aIL10,6.901875931,6.15,20.5,824,104,398,0.44,51.4,2.66,1639,-1.28,74,26,24.7,7.99,46.3,10.1,9197,11.2,2.92,28.2,14.3,85.7,7579,39.6,32.6,65.6,51.9,53.2,0.818461538,15.5,0.683168317,3.24,336,449,12.4,4202,3619,180,189
aIL10_34897,34897,aIL10,7.025983056,7.71,-7.7,769,65.5,335,0.62,39.5,4.24,1570,-8.98,67.4,32.6,29.8,12.9,29,11.7,6067,19.1,5.42,6.42,24.8,75.2,3448,50,42.9,55.1,39,60.9,0.928353659,20,0.765060241,3.47,419,632,16.3,2946,3366,265,418
aIL10_34930,34930,aIL10,7.228155107,8.79,-11.6,765,-43.6,146,0.88,42.4,4.3,1515,5.13,71.7,28.3,21.1,11.3,33.1,11.9,7397,9.92,3.98,-2.57,14.3,85.7,6146,40.4,32.2,63.7,47.5,58.2,0.837410072,18.2,0.710526316,4.53,420,530,6.15,2382,2534,278,396
Control_RVi17,RVi17,Control,7.314670931,6.64,21.8,750,118,290,0.61,35.4,5.52,1758,113,57.8,42.2,8.47,5.62,48.2,9.55,8562,3.97,1.3,20.5,5.41,94.6,8299,22.1,14.8,82.7,66.6,51.4,0.826366559,11.6,0.702068966,3.13,657,767,18.2,5347,5486,287,374
aIL10_34920,34920,aIL10,7.508975669,11.9,-37.2,789,43.6,232,0.83,57.2,3.03,1642,28.2,77.8,22.2,45.5,13.4,22.4,19.3,2292,34.3,8.41,2.57,43.9,56.1,1781,70,50.9,36.3,24.1,62.5,0.742280285,17.6,0.611764706,5.89,572,753,35.9,3016,3132,296,385
Control_RTd17,RTd17,Control,7.548153804,4.87,60.4,753,194,473,0.54,29.7,4.01,1699,59.1,66.8,33.2,31.5,12.7,29.3,8.35,4997,16.1,4.03,88.7,21,79,3227,55.5,48.9,52.3,38.1,48.6,0.728635682,16,0.706684857,2.27,435,863,10.6,5486,5568,290,627
